x,y
-0.0501839524610551,0.0404460046972835
-0.1139504449967432,0.1315324360182534
-0.1364089499975647,0.2241497690534808
-0.1210436217149757,0.3172592453102212
-0.0713386144004322,0.4098221062957299
0.0092219176946097,0.5007995935172623
0.117153820318694,0.5891529484820741
0.2489729392203649,0.6738434126974204
0.4011951201481659,0.7538322276705568
0.5703362088506413,0.8280806349087385
0.7529120510763345,0.8955498759192212
0.9454384925737904,0.9552011922092604
1.1444313790915528,1.0059958252861112
1.3464065563781649,1.0468950166570294
1.5478798701821712,1.0768600078292705
1.7453671662521149,1.094852040310089
1.9353842903365412,1.0998323556067413
2.1144470881839927,1.090762195226482
2.279273263428409,1.0667028385627046
2.4294658614660896,1.028145499193076
2.56678196313964,0.976648899909938
2.6930303173262047,0.9137973694459026
2.8100196729029285,0.8411752365335808
2.919558778746957,0.7603668299055839
3.023456383735436,0.6729564782945229
3.1235212367455074,0.5805285104330105
3.221562086654319,0.4846672550536565
3.3193876823390163,0.3869570408890734
3.418806772676743,0.2889821966718722
3.521628106544644,0.1923270511346647
3.629660432819864,0.0985759330100617
3.7447125003795487,0.0093131710306746
3.8685930581008434,-0.0738769060708847
4.003110854860894,-0.1494099695620054
4.15002907752134,-0.215729562843929
4.309098288353579,-0.2725104334549088
4.477305663412416,-0.3211178044240055
4.651437917957164,-0.3630395287838701
4.828281767247133,-0.3997634595671532
5.004623926541626,-0.4327774498065051
5.177251111099961,-0.4635693525345772
5.3429500361814455,-0.4936270207840199
5.498507417045388,-0.5244383075874838
5.640709968951098,-0.5574910659776198
5.766344407157886,-0.5942731489870781
5.872197446925063,-0.63627240964851
5.955055803511937,-0.684976700994566
6.01170619217782,-0.7418738760578966
6.038935328182017,-0.8084517878711526
6.034456406680583,-0.8857050274198419
6.000284670351269,-0.97233775631812
5.939683126040812,-1.066389820947283
5.855914912700444,-1.165900997355598
5.752243169281403,-1.268911061591331
5.631931034734931,-1.373459789702749
5.49824164801226,-1.477586957738117
5.354438148064631,-1.5793323417457024
5.203783673843282,-1.6767357177737705
5.049541364299447,-1.767836861870589
4.894974358384368,-1.8506755500844243
4.743047749971154,-1.923492873912876
4.594433790751869,-1.986078632038497
4.44874072596453,-2.038941309520872
4.305570951890001,-2.0825933421153864
4.16452686480914,-2.1175471655774274
4.025210861002809,-2.1443152156623797
3.887225336751867,-2.16340992812563
3.750172688337177,-2.1753437387225643
3.613655312039596,-2.180629083208568
3.4772756041399853,-2.17977839733903
3.340635960919207,-2.173304116869333
3.20333877865812,-2.1617186775548656
3.0649864536375846,-2.145534515151012
2.925181382138464,-2.1252640654131603
2.7835575276508058,-2.1013976317632688
2.640316870731958,-2.074027270725753
2.4961534173900968,-2.0429000710052314
2.351777444177618,-2.0077517137375613
2.2078992276469123,-1.968317880058598
2.065229044350376,-1.9243342511041968
1.9244771708404,-1.875536508010212
1.7863538836693802,-1.8216603319125
1.6515694593897094,-1.7624414039469154
1.5208341745537814,-1.6976154052493138
1.3948583057139905,-1.6269180169555513
1.2743521294227294,-1.5500849202014826
1.1600259222323916,-1.4668517961229628
1.0525899606953717,-1.3769543258558472
0.9527545213640644,-1.2801281905359936
0.8612298807908605,-1.1761090712992537
0.77862207634614,-1.064700878238947
0.7036492652361683,-0.9469432189368276
0.633387755927027,-0.8249503604806913
0.5648591249265332,-0.7008723943420272
0.4950849487425043,-0.5768594119923239
0.4210868038827575,-0.4550615049030705
0.3398862668551103,-0.3376287645457554
0.2485049141673798,-0.2267112823918677
0.1439643903738959,-0.12445913220067
0.0297651163592918,-0.031335988897849
